feature,importance
Close_SMA_21_ratio,0.10025424
Dist_from_low_20,0.053242933
Volume_price_trend,0.05234412
Volume_SMA_10,0.051099762
ROC_10,0.049393065
EMA_7,0.047563273
ATR_14,0.04645896
SMA_7,0.045749236
Volatility_20,0.04242602
Volume_ratio_10,0.040232874
ATR_20,0.039003596
Close_SMA_50_ratio,0.03786526
Volatility_50,0.03622417
DayOfWeek,0.035638135
Close_Low_ratio,0.03429307
Volume_std_10,0.034023643
MACD_signal,0.033848885
Return_7d,0.03334279
Close_SMA_7_ratio,0.031425573
Return_1d,0.0260933
MACD_histogram,0.025655534
HL_ratio,0.021959709
Volume_ratio_20,0.021523092
Return_3d,0.020660385
Stoch_d,0.020370694
BB_lower_dist,0.019307777
EMA_200,0.0
Close_EMA_200_ratio,0.0
EMA_21,0.0
Close_SMA_200_ratio,0.0
Close_EMA_7_ratio,0.0
SMA_200,0.0
SMA_50,0.0
SMA_21,0.0
MACD,0.0
RSI_30,0.0
RSI_14,0.0
BB_upper_dist,0.0
BB_position,0.0
BB_width,0.0
BB_middle,0.0
BB_lower,0.0
Close_High_ratio,0.0
Price_position,0.0
BB_upper,0.0
Close_EMA_21_ratio,0.0
Close_EMA_50_ratio,0.0
EMA_50,0.0
Stoch_k,0.0
ROC_20,0.0
AD_Line,0.0
VPT,0.0
OBV,0.0
Volume_SMA_20,0.0
Williams_R,0.0
Volatility_10,0.0
ATR_14_pct,0.0
ATR_20_pct,0.0
Month,0.0
Quarter,0.0
Days_since_high_20,0.0
Year,0.0
Days_since_low_20,0.0
Days_since_high_50,0.0
Days_since_low_50,0.0
Dist_from_high_20,0.0
